treatment,rep.num,time.rep,mound.count,date,year
nov,1,0,9,7.3.23,2023
nov,2,0,5,7.3.23,2023
nov,3,0,12,7.3.23,2023
nov,4,0,9,7.3.23,2023
nov,5,0,5,7.3.23,2023
nov,6,0,7,7.3.23,2023
combo,1,0,4,7.3.23,2023
combo,2,0,5,7.3.23,2023
combo,3,0,5,7.3.23,2023
combo,4,0,2,7.3.23,2023
combo,5,0,15,7.3.23,2023
combo,6,0,14,7.3.23,2023
bif,1,0,6,7.3.23,2023
bif,2,0,5,7.3.23,2023
bif,3,0,6,7.3.23,2023
bif,4,0,11,7.3.23,2023
bif,5,0,9,7.3.23,2023
bif,6,0,13,7.3.23,2023
control,1,0,12,7.3.23,2023
control,2,0,6,7.3.23,2023
control,3,0,6,7.3.23,2023
control,4,0,6,7.3.23,2023
control,5,0,13,7.3.23,2023
control,6,0,6,7.3.23,2023
nov,1,1,5,7.6.23,2023
nov,2,1,7,7.6.23,2023
nov,3,1,11,7.6.23,2023
nov,4,1,12,7.6.23,2023
nov,5,1,4,7.6.23,2023
nov,6,1,5,7.6.23,2023
combo,1,1,4,7.6.23,2023
combo,2,1,0,7.6.23,2023
combo,3,1,0,7.6.23,2023
combo,4,1,0,7.6.23,2023
combo,5,1,3,7.6.23,2023
combo,6,1,1,7.6.23,2023
bif,1,1,3,7.6.23,2023
bif,2,1,0,7.6.23,2023
bif,3,1,1,7.6.23,2023
bif,4,1,0,7.6.23,2023
bif,5,1,0,7.6.23,2023
bif,6,1,0,7.6.23,2023
control,1,1,5,7.6.23,2023
control,2,1,21,7.6.23,2023
control,3,1,8,7.6.23,2023
control,4,1,5,7.6.23,2023
control,5,1,9,7.6.23,2023
control,6,1,17,7.6.23,2023
nov,1,2,9,7.10.23,2023
nov,2,2,4,7.10.23,2023
nov,3,2,15,7.10.23,2023
nov,4,2,9,7.10.23,2023
nov,5,2,8,7.10.23,2023
nov,6,2,1,7.10.23,2023
combo,1,2,1,7.10.23,2023
combo,2,2,0,7.10.23,2023
combo,3,2,0,7.10.23,2023
combo,4,2,0,7.10.23,2023
combo,5,2,2,7.10.23,2023
combo,6,2,8,7.10.23,2023
bif,1,2,0,7.10.23,2023
bif,2,2,0,7.10.23,2023
bif,3,2,0,7.10.23,2023
bif,4,2,3,7.10.23,2023
bif,5,2,1,7.10.23,2023
bif,6,2,1,7.10.23,2023
control,1,2,15,7.10.23,2023
control,2,2,5,7.10.23,2023
control,3,2,4,7.10.23,2023
control,4,2,6,7.10.23,2023
control,5,2,10,7.10.23,2023
control,6,2,9,7.10.23,2023
nov,1,3,7,7.13.23,2023
nov,2,3,3,7.13.23,2023
nov,3,3,15,7.13.23,2023
nov,4,3,7,7.13.23,2023
nov,5,3,6,7.13.23,2023
nov,6,3,6,7.13.23,2023
combo,1,3,2,7.13.23,2023
combo,2,3,0,7.13.23,2023
combo,3,3,2,7.13.23,2023
combo,4,3,0,7.13.23,2023
combo,5,3,5,7.13.23,2023
combo,6,3,7,7.13.23,2023
bif,1,3,3,7.13.23,2023
bif,2,3,2,7.13.23,2023
bif,3,3,1,7.13.23,2023
bif,4,3,6,7.13.23,2023
bif,5,3,2,7.13.23,2023
bif,6,3,5,7.13.23,2023
control,1,3,16,7.13.23,2023
control,2,3,4,7.13.23,2023
control,3,3,4,7.13.23,2023
control,4,3,5,7.13.23,2023
control,5,3,16,7.13.23,2023
control,6,3,7,7.13.23,2023
nov,1,4,5,7.21.23,2023
nov,2,4,5,7.21.23,2023
nov,3,4,9,7.21.23,2023
nov,4,4,7,7.21.23,2023
nov,5,4,5,7.21.23,2023
nov,6,4,7,7.21.23,2023
combo,1,4,0,7.21.23,2023
combo,2,4,1,7.21.23,2023
combo,3,4,0,7.21.23,2023
combo,4,4,0,7.21.23,2023
combo,5,4,8,7.21.23,2023
combo,6,4,19,7.21.23,2023
bif,1,4,2,7.21.23,2023
bif,2,4,2,7.21.23,2023
bif,3,4,0,7.21.23,2023
bif,4,4,5,7.21.23,2023
bif,5,4,4,7.21.23,2023
bif,6,4,6,7.21.23,2023
control,1,4,13,7.21.23,2023
control,2,4,3,7.21.23,2023
control,3,4,2,7.21.23,2023
control,4,4,6,7.21.23,2023
control,5,4,25,7.21.23,2023
control,6,4,11,7.21.23,2023
nov,1,5,1,7.28.23,2023
nov,2,5,3,7.28.23,2023
nov,3,5,3,7.28.23,2023
nov,4,5,2,7.28.23,2023
nov,5,5,2,7.28.23,2023
nov,6,5,3,7.28.23,2023
combo,1,5,2,7.28.23,2023
combo,2,5,1,7.28.23,2023
combo,3,5,0,7.28.23,2023
combo,4,5,0,7.28.23,2023
combo,5,5,5,7.28.23,2023
combo,6,5,7,7.28.23,2023
bif,1,5,0,7.28.23,2023
bif,2,5,1,7.28.23,2023
bif,3,5,0,7.28.23,2023
bif,4,5,2,7.28.23,2023
bif,5,5,1,7.28.23,2023
bif,6,5,4,7.28.23,2023
control,1,5,5,7.28.23,2023
control,2,5,4,7.28.23,2023
control,3,5,1,7.28.23,2023
control,4,5,1,7.28.23,2023
control,5,5,9,7.28.23,2023
control,6,5,5,7.28.23,2023
nov,1,0,4,7.12.24,2024
nov,2,0,8,7.12.24,2024
nov,3,0,13,7.12.24,2024
nov,4,0,4,7.12.24,2024
nov,5,0,9,7.12.24,2024
nov,6,0,8,7.12.24,2024
combo,1,0,10,7.12.24,2024
combo,2,0,10,7.12.24,2024
combo,3,0,5,7.12.24,2024
combo,4,0,3,7.12.24,2024
combo,5,0,14,7.12.24,2024
combo,6,0,4,7.12.24,2024
bif,1,0,10,7.12.24,2024
bif,2,0,9,7.12.24,2024
bif,3,0,9,7.12.24,2024
bif,4,0,10,7.12.24,2024
bif,5,0,5,7.12.24,2024
bif,6,0,3,7.12.24,2024
control,1,0,2,7.12.24,2024
control,2,0,17,7.12.24,2024
control,3,0,3,7.12.24,2024
control,4,0,7,7.12.24,2024
control,5,0,8,7.12.24,2024
control,6,0,9,7.12.24,2024
nov,1,1,5,7.15.24,2024
nov,2,1,0,7.15.24,2024
nov,3,1,3,7.15.24,2024
nov,4,1,4,7.15.24,2024
nov,5,1,9,7.15.24,2024
nov,6,1,0,7.15.24,2024
combo,1,1,0,7.15.24,2024
combo,2,1,0,7.15.24,2024
combo,3,1,0,7.15.24,2024
combo,4,1,0,7.15.24,2024
combo,5,1,0,7.15.24,2024
combo,6,1,0,7.15.24,2024
bif,1,1,0,7.15.24,2024
bif,2,1,0,7.15.24,2024
bif,3,1,0,7.15.24,2024
bif,4,1,0,7.15.24,2024
bif,5,1,0,7.15.24,2024
bif,6,1,0,7.15.24,2024
control,1,1,2,7.15.24,2024
control,2,1,5,7.15.24,2024
control,3,1,0,7.15.24,2024
control,4,1,2,7.15.24,2024
control,5,1,0,7.15.24,2024
control,6,1,11,7.15.24,2024
nov,1,2,3,7.19.24,2024
nov,2,2,8,7.19.24,2024
nov,3,2,8,7.19.24,2024
nov,4,2,8,7.19.24,2024
nov,5,2,3,7.19.24,2024
nov,6,2,4,7.19.24,2024
combo,1,2,0,7.19.24,2024
combo,2,2,0,7.19.24,2024
combo,3,2,0,7.19.24,2024
combo,4,2,0,7.19.24,2024
combo,5,2,0,7.19.24,2024
combo,6,2,0,7.19.24,2024
bif,1,2,1,7.19.24,2024
bif,2,2,7,7.19.24,2024
bif,3,2,0,7.19.24,2024
bif,4,2,0,7.19.24,2024
bif,5,2,0,7.19.24,2024
bif,6,2,0,7.19.24,2024
control,1,2,4,7.19.24,2024
control,2,2,8,7.19.24,2024
control,3,2,2,7.19.24,2024
control,4,2,4,7.19.24,2024
control,5,2,4,7.19.24,2024
control,6,2,3,7.19.24,2024
nov,1,3,4,7.22.24,2024
nov,2,3,6,7.22.24,2024
nov,3,3,8,7.22.24,2024
nov,4,3,5,7.22.24,2024
nov,5,3,11,7.22.24,2024
nov,6,3,7,7.22.24,2024
combo,1,3,1,7.22.24,2024
combo,2,3,0,7.22.24,2024
combo,3,3,0,7.22.24,2024
combo,4,3,0,7.22.24,2024
combo,5,3,0,7.22.24,2024
combo,6,3,0,7.22.24,2024
bif,1,3,0,7.22.24,2024
bif,2,3,8,7.22.24,2024
bif,3,3,1,7.22.24,2024
bif,4,3,1,7.22.24,2024
bif,5,3,1,7.22.24,2024
bif,6,3,1,7.22.24,2024
control,1,3,3,7.22.24,2024
control,2,3,10,7.22.24,2024
control,3,3,3,7.22.24,2024
control,4,3,5,7.22.24,2024
control,5,3,5,7.22.24,2024
control,6,3,7,7.22.24,2024
nov,1,4,1,7.26.24,2024
nov,2,4,1,7.26.24,2024
nov,3,4,9,7.26.24,2024
nov,4,4,3,7.26.24,2024
nov,5,4,5,7.26.24,2024
nov,6,4,4,7.26.24,2024
combo,1,4,1,7.26.24,2024
combo,2,4,0,7.26.24,2024
combo,3,4,0,7.26.24,2024
combo,4,4,0,7.26.24,2024
combo,5,4,0,7.26.24,2024
combo,6,4,0,7.26.24,2024
bif,1,4,1,7.26.24,2024
bif,2,4,3,7.26.24,2024
bif,3,4,1,7.26.24,2024
bif,4,4,0,7.26.24,2024
bif,5,4,1,7.26.24,2024
bif,6,4,0,7.26.24,2024
control,1,4,2,7.26.24,2024
control,2,4,7,7.26.24,2024
control,3,4,0,7.26.24,2024
control,4,4,3,7.26.24,2024
control,5,4,3,7.26.24,2024
control,6,4,2,7.26.24,2024
nov,1,5,,8.2.24,2024
nov,2,5,,8.2.24,2024
nov,3,5,,8.2.24,2024
nov,4,5,,8.2.24,2024
nov,5,5,,8.2.24,2024
nov,6,5,,8.2.24,2024
combo,1,5,,8.2.24,2024
combo,2,5,,8.2.24,2024
combo,3,5,,8.2.24,2024
combo,4,5,,8.2.24,2024
combo,5,5,,8.2.24,2024
combo,6,5,,8.2.24,2024
bif,1,5,,8.2.24,2024
bif,2,5,,8.2.24,2024
bif,3,5,,8.2.24,2024
bif,4,5,,8.2.24,2024
bif,5,5,,8.2.24,2024
bif,6,5,,8.2.24,2024
control,1,5,,8.2.24,2024
control,2,5,,8.2.24,2024
control,3,5,,8.2.24,2024
control,4,5,,8.2.24,2024
control,5,5,,8.2.24,2024
control,6,5,,8.2.24,2024
